salary_id,employee_id,amount_vnd,currency,pay_frequency,bonus_vnd,effective_from,effective_to
1,1,30427077,VND,Biweekly,0,2024-01-01,2024-12-31
2,2,73341633,VND,Monthly,2000000,2024-01-01,2024-12-31
3,3,31332495,VND,Weekly,0,2024-01-01,2024-12-31
4,4,54544960,VND,Weekly,2000000,2024-01-01,2024-12-31
5,5,75558289,VND,Monthly,2000000,2024-01-01,2024-12-31
6,6,60495074,VND,Biweekly,2000000,2024-01-01,2024-12-31
7,7,62563649,VND,Monthly,5000000,2024-01-01,2024-12-31
8,8,38370494,VND,Biweekly,0,2024-01-01,2024-12-31
9,9,43258354,VND,Weekly,0,2024-01-01,2024-12-31
10,10,42367295,VND,Monthly,0,2024-01-01,2024-12-31
11,11,48718505,VND,Monthly,2000000,2024-01-01,2024-12-31
12,12,75976469,VND,Weekly,0,2024-01-01,2024-12-31
13,13,61525082,VND,Monthly,1000000,2024-01-01,2024-12-31
14,14,42737277,VND,Monthly,0,2024-01-01,2024-12-31
15,15,47300037,VND,Weekly,0,2024-01-01,2024-12-31
16,16,47096233,VND,Monthly,0,2024-01-01,2024-12-31
17,17,64935558,VND,Biweekly,0,2024-01-01,2024-12-31
18,18,54756580,VND,Biweekly,5000000,2024-01-01,2024-12-31
19,19,51063347,VND,Biweekly,0,2024-01-01,2024-12-31
20,20,76143260,VND,Weekly,1000000,2024-01-01,2024-12-31
21,21,68020495,VND,Monthly,0,2024-01-01,2024-12-31
22,22,65047366,VND,Monthly,0,2024-01-01,2024-12-31
23,23,71200406,VND,Biweekly,2000000,2024-01-01,2024-12-31
24,24,33502244,VND,Weekly,2000000,2024-01-01,2024-12-31
25,25,65467513,VND,Monthly,5000000,2024-01-01,2024-12-31
26,26,63881739,VND,Weekly,0,2024-01-01,2024-12-31
27,27,52086966,VND,Weekly,0,2024-01-01,2024-12-31
28,28,56458142,VND,Weekly,1000000,2024-01-01,2024-12-31
29,29,74742952,VND,Biweekly,1000000,2024-01-01,2024-12-31
30,30,60887068,VND,Biweekly,0,2024-01-01,2024-12-31
31,31,61714568,VND,Monthly,0,2024-01-01,2024-12-31
32,32,67996541,VND,Monthly,5000000,2024-01-01,2024-12-31
33,33,55802697,VND,Monthly,0,2024-01-01,2024-12-31
34,34,70718807,VND,Weekly,0,2024-01-01,2024-12-31
35,35,59761892,VND,Biweekly,1000000,2024-01-01,2024-12-31
36,36,66027970,VND,Weekly,0,2024-01-01,2024-12-31
37,37,40884639,VND,Biweekly,0,2024-01-01,2024-12-31
38,38,59901197,VND,Weekly,0,2024-01-01,2024-12-31
39,39,30795109,VND,Monthly,0,2024-01-01,2024-12-31
40,40,61786258,VND,Biweekly,0,2024-01-01,2024-12-31
41,41,79175427,VND,Weekly,2000000,2024-01-01,2024-12-31
42,42,33824337,VND,Monthly,1000000,2024-01-01,2024-12-31
43,43,55323965,VND,Biweekly,1000000,2024-01-01,2024-12-31
44,44,40345623,VND,Monthly,2000000,2024-01-01,2024-12-31
45,45,39289307,VND,Monthly,0,2024-01-01,2024-12-31
46,46,50910636,VND,Weekly,2000000,2024-01-01,2024-12-31
47,47,58273745,VND,Weekly,2000000,2024-01-01,2024-12-31
48,48,57448336,VND,Weekly,0,2024-01-01,2024-12-31
49,49,42938737,VND,Monthly,1000000,2024-01-01,2024-12-31
50,50,78905709,VND,Weekly,0,2024-01-01,2024-12-31
51,51,77806175,VND,Monthly,1000000,2024-01-01,2024-12-31
52,52,59209329,VND,Biweekly,1000000,2024-01-01,2024-12-31
53,53,32814419,VND,Monthly,2000000,2024-01-01,2024-12-31
54,54,31330152,VND,Monthly,5000000,2024-01-01,2024-12-31
55,55,51122120,VND,Weekly,5000000,2024-01-01,2024-12-31
56,56,70267594,VND,Monthly,5000000,2024-01-01,2024-12-31
57,57,69935104,VND,Weekly,5000000,2024-01-01,2024-12-31
58,58,50416841,VND,Biweekly,1000000,2024-01-01,2024-12-31
59,59,66608601,VND,Monthly,2000000,2024-01-01,2024-12-31
60,60,78886824,VND,Weekly,2000000,2024-01-01,2024-12-31
61,61,65461651,VND,Biweekly,5000000,2024-01-01,2024-12-31
62,62,33589254,VND,Biweekly,5000000,2024-01-01,2024-12-31
63,63,62986037,VND,Weekly,0,2024-01-01,2024-12-31
64,64,77723789,VND,Monthly,5000000,2024-01-01,2024-12-31
65,65,74321169,VND,Biweekly,0,2024-01-01,2024-12-31
66,66,50879272,VND,Biweekly,2000000,2024-01-01,2024-12-31
67,67,30035460,VND,Monthly,0,2024-01-01,2024-12-31
68,68,52739480,VND,Monthly,0,2024-01-01,2024-12-31
69,69,52654969,VND,Monthly,0,2024-01-01,2024-12-31
70,70,66268659,VND,Biweekly,0,2024-01-01,2024-12-31
71,71,55731122,VND,Monthly,0,2024-01-01,2024-12-31
72,72,64899035,VND,Weekly,0,2024-01-01,2024-12-31
73,73,66025096,VND,Biweekly,0,2024-01-01,2024-12-31
74,74,72737335,VND,Monthly,2000000,2024-01-01,2024-12-31
75,75,40351647,VND,Monthly,0,2024-01-01,2024-12-31
76,76,57354763,VND,Weekly,5000000,2024-01-01,2024-12-31
77,77,46562875,VND,Biweekly,1000000,2024-01-01,2024-12-31
78,78,48106438,VND,Biweekly,0,2024-01-01,2024-12-31
79,79,33383762,VND,Biweekly,0,2024-01-01,2024-12-31
80,80,66249831,VND,Weekly,5000000,2024-01-01,2024-12-31
81,81,58237382,VND,Biweekly,2000000,2024-01-01,2024-12-31
82,82,55381495,VND,Monthly,1000000,2024-01-01,2024-12-31
83,83,54211271,VND,Monthly,5000000,2024-01-01,2024-12-31
84,84,31857659,VND,Weekly,2000000,2024-01-01,2024-12-31
85,85,67880538,VND,Biweekly,2000000,2024-01-01,2024-12-31
86,86,75742252,VND,Weekly,5000000,2024-01-01,2024-12-31
87,87,75640604,VND,Weekly,5000000,2024-01-01,2024-12-31
88,88,69686150,VND,Monthly,5000000,2024-01-01,2024-12-31
89,89,59634823,VND,Monthly,2000000,2024-01-01,2024-12-31
90,90,41615309,VND,Weekly,0,2024-01-01,2024-12-31
91,91,50717848,VND,Weekly,5000000,2024-01-01,2024-12-31
92,92,48192348,VND,Weekly,0,2024-01-01,2024-12-31
93,93,39422234,VND,Biweekly,1000000,2024-01-01,2024-12-31
94,94,45837265,VND,Monthly,1000000,2024-01-01,2024-12-31
95,95,58386319,VND,Biweekly,5000000,2024-01-01,2024-12-31
96,96,78861220,VND,Biweekly,5000000,2024-01-01,2024-12-31
97,97,72958450,VND,Weekly,1000000,2024-01-01,2024-12-31
98,98,30206486,VND,Monthly,0,2024-01-01,2024-12-31
99,99,49741370,VND,Weekly,2000000,2024-01-01,2024-12-31
100,100,75053109,VND,Monthly,1000000,2024-01-01,2024-12-31
101,101,47680384,VND,Weekly,1000000,2024-01-01,2024-12-31
102,102,69609324,VND,Weekly,1000000,2024-01-01,2024-12-31
103,103,71159523,VND,Biweekly,0,2024-01-01,2024-12-31
104,104,37051396,VND,Weekly,0,2024-01-01,2024-12-31
105,105,31182328,VND,Weekly,5000000,2024-01-01,2024-12-31
106,106,58680477,VND,Biweekly,5000000,2024-01-01,2024-12-31
107,107,38051260,VND,Weekly,0,2024-01-01,2024-12-31
108,108,32002577,VND,Weekly,2000000,2024-01-01,2024-12-31
109,109,48109107,VND,Weekly,0,2024-01-01,2024-12-31
110,110,36308553,VND,Biweekly,0,2024-01-01,2024-12-31
111,111,76818947,VND,Weekly,0,2024-01-01,2024-12-31
112,112,49185492,VND,Biweekly,2000000,2024-01-01,2024-12-31
113,113,73777785,VND,Weekly,0,2024-01-01,2024-12-31
114,114,70787058,VND,Biweekly,5000000,2024-01-01,2024-12-31
115,115,63255589,VND,Biweekly,2000000,2024-01-01,2024-12-31
116,116,33764681,VND,Weekly,0,2024-01-01,2024-12-31
117,117,49217639,VND,Weekly,1000000,2024-01-01,2024-12-31
118,118,48527787,VND,Weekly,5000000,2024-01-01,2024-12-31
119,119,66906068,VND,Biweekly,0,2024-01-01,2024-12-31
120,120,79228413,VND,Weekly,0,2024-01-01,2024-12-31
121,121,76659658,VND,Monthly,5000000,2024-01-01,2024-12-31
122,122,34223026,VND,Biweekly,1000000,2024-01-01,2024-12-31
123,123,70007669,VND,Weekly,0,2024-01-01,2024-12-31
124,124,58130149,VND,Weekly,1000000,2024-01-01,2024-12-31
125,125,54099955,VND,Biweekly,0,2024-01-01,2024-12-31
126,126,60850461,VND,Weekly,5000000,2024-01-01,2024-12-31
127,127,68959974,VND,Monthly,0,2024-01-01,2024-12-31
128,128,48334925,VND,Monthly,2000000,2024-01-01,2024-12-31
129,129,71489881,VND,Weekly,1000000,2024-01-01,2024-12-31
130,130,40384550,VND,Monthly,0,2024-01-01,2024-12-31
131,131,36845271,VND,Biweekly,1000000,2024-01-01,2024-12-31
132,132,51444946,VND,Biweekly,0,2024-01-01,2024-12-31
133,133,66782427,VND,Weekly,1000000,2024-01-01,2024-12-31
134,134,75450564,VND,Monthly,0,2024-01-01,2024-12-31
135,135,32186759,VND,Weekly,5000000,2024-01-01,2024-12-31
136,136,34148187,VND,Monthly,0,2024-01-01,2024-12-31
137,137,73569568,VND,Biweekly,1000000,2024-01-01,2024-12-31
138,138,79485231,VND,Monthly,1000000,2024-01-01,2024-12-31
139,139,47984135,VND,Weekly,0,2024-01-01,2024-12-31
140,140,68111599,VND,Weekly,1000000,2024-01-01,2024-12-31
141,141,47967745,VND,Biweekly,0,2024-01-01,2024-12-31
142,142,55787684,VND,Monthly,2000000,2024-01-01,2024-12-31
143,143,69592374,VND,Weekly,1000000,2024-01-01,2024-12-31
144,144,60091540,VND,Monthly,2000000,2024-01-01,2024-12-31
145,145,65792756,VND,Weekly,0,2024-01-01,2024-12-31
146,146,58993446,VND,Monthly,0,2024-01-01,2024-12-31
147,147,55838953,VND,Monthly,2000000,2024-01-01,2024-12-31
148,148,35298314,VND,Biweekly,5000000,2024-01-01,2024-12-31
149,149,51540902,VND,Biweekly,0,2024-01-01,2024-12-31
150,150,36874215,VND,Monthly,1000000,2024-01-01,2024-12-31
151,151,67559863,VND,Weekly,2000000,2024-01-01,2024-12-31
152,152,47787547,VND,Biweekly,1000000,2024-01-01,2024-12-31
153,153,40792211,VND,Monthly,5000000,2024-01-01,2024-12-31
154,154,31708139,VND,Weekly,5000000,2024-01-01,2024-12-31
155,155,33380900,VND,Monthly,2000000,2024-01-01,2024-12-31
156,156,46307066,VND,Biweekly,1000000,2024-01-01,2024-12-31
157,157,75415818,VND,Weekly,1000000,2024-01-01,2024-12-31
158,158,34217996,VND,Biweekly,2000000,2024-01-01,2024-12-31
159,159,40786026,VND,Weekly,0,2024-01-01,2024-12-31
160,160,74284268,VND,Biweekly,1000000,2024-01-01,2024-12-31
161,161,41627229,VND,Biweekly,0,2024-01-01,2024-12-31
162,162,79693982,VND,Biweekly,2000000,2024-01-01,2024-12-31
163,163,69490687,VND,Weekly,0,2024-01-01,2024-12-31
164,164,64844532,VND,Weekly,1000000,2024-01-01,2024-12-31
165,165,46020392,VND,Biweekly,1000000,2024-01-01,2024-12-31
166,166,61840260,VND,Biweekly,5000000,2024-01-01,2024-12-31
167,167,38835098,VND,Weekly,0,2024-01-01,2024-12-31
168,168,70650577,VND,Monthly,1000000,2024-01-01,2024-12-31
169,169,43597574,VND,Weekly,5000000,2024-01-01,2024-12-31
170,170,72738851,VND,Monthly,5000000,2024-01-01,2024-12-31
171,171,40717417,VND,Weekly,2000000,2024-01-01,2024-12-31
172,172,76683187,VND,Weekly,0,2024-01-01,2024-12-31
173,173,60059620,VND,Weekly,2000000,2024-01-01,2024-12-31
174,174,60138726,VND,Monthly,0,2024-01-01,2024-12-31
175,175,47114855,VND,Monthly,1000000,2024-01-01,2024-12-31
176,176,47866869,VND,Monthly,1000000,2024-01-01,2024-12-31
177,177,30921326,VND,Biweekly,0,2024-01-01,2024-12-31
178,178,77552857,VND,Weekly,2000000,2024-01-01,2024-12-31
179,179,75071496,VND,Monthly,2000000,2024-01-01,2024-12-31
180,180,38183613,VND,Monthly,0,2024-01-01,2024-12-31
181,181,74509045,VND,Biweekly,0,2024-01-01,2024-12-31
182,182,49852364,VND,Monthly,1000000,2024-01-01,2024-12-31
183,183,47647353,VND,Monthly,5000000,2024-01-01,2024-12-31
184,184,72514590,VND,Biweekly,2000000,2024-01-01,2024-12-31
185,185,59777364,VND,Biweekly,5000000,2024-01-01,2024-12-31
186,186,61000548,VND,Biweekly,2000000,2024-01-01,2024-12-31
187,187,52558881,VND,Weekly,1000000,2024-01-01,2024-12-31
188,188,77787312,VND,Biweekly,5000000,2024-01-01,2024-12-31
189,189,70786332,VND,Monthly,0,2024-01-01,2024-12-31
190,190,76957912,VND,Monthly,5000000,2024-01-01,2024-12-31
191,191,55030056,VND,Monthly,5000000,2024-01-01,2024-12-31
192,192,49549199,VND,Monthly,0,2024-01-01,2024-12-31
193,193,53861746,VND,Weekly,1000000,2024-01-01,2024-12-31
194,194,78730153,VND,Biweekly,2000000,2024-01-01,2024-12-31
195,195,42263855,VND,Biweekly,1000000,2024-01-01,2024-12-31
196,196,41879455,VND,Biweekly,0,2024-01-01,2024-12-31
197,197,60653770,VND,Weekly,0,2024-01-01,2024-12-31
198,198,30478709,VND,Biweekly,0,2024-01-01,2024-12-31
199,199,64323515,VND,Biweekly,0,2024-01-01,2024-12-31
200,200,43446543,VND,Weekly,0,2024-01-01,2024-12-31
